"age","sleep","sensor1","sensor2","sensor3","sensor5","sensor6","sensor7","sensor8","sensor9"
34,"nosleep",0.15,38.37,28.09,26.53,27.85,0.98,19.88,-0.03
34,"nosleep",0.21,8.98,30.53,29.13,43.83,0.88,24.38,-0.31
37,"sleep",0.53,13.51,28.9,29.57,0.62,0.22,1.73,-0.82
36,"nosleep",0.62,12.07,30.03,32.3,91.99,0.6,74.11,-0.68
34,"nosleep",0.25,22.15,30.24,29.1,90.77,0.89,66.17,-0.36
35,"nosleep",0.25,7.19,31.98,30.73,2.44,0.88,1.79,-0.36
38,"sleep",0.29,3.57,31.99,31.3,0.38,0.02,0.55,-0.5
36,"nosleep",0.83,12.6,29.36,31.2,348.89,0.94,200.61,-0.3
32,"nosleep",0.6,47.54,30.72,29.76,83.57,0.76,73.78,-0.35
24,"sleep",0.32,2.75,31.67,31.02,0.07,-0.24,0.05,-0.86
32,"nosleep",0.75,51.4,30.09,29.81,140.27,0.35,160.06,-0.75
32,"nosleep",13.71,25.67,33.61,33.81,1123.9,1.06,541.78,-0.15
38,"nosleep",1.02,36.24,31.11,30.8,55.12,0.6,95.37,-0.54
31,"nosleep",0.58,13.18,30.53,29.51,19.73,0.96,38.16,-0.43
38,"sleep",0.34,2.7,32.06,30.95,0.22,-0.08,0.29,-0.67
43,"sleep",1.8,14.29,32.34,31.42,0.05,-0.1,0.03,0.18
39,"sleep",0.46,0.92,34.6,34.02,2.39,0.22,6.61,-0.9
32,"nosleep",0.06,21.38,31.94,31.16,5.57,0.53,6.39,-0.74
37,"nosleep",0.22,15.11,29.31,28.43,15.52,0.59,15.8,-0.55
30,"sleep",0.67,4.49,31.94,31.04,0,-0.01,0,-0.85
34,"nosleep",0.2,25.43,29.38,27.9,5.6,1.15,4.76,-0.09
38,"sleep",0.21,1.79,32.65,31.72,0.16,-0.27,0.43,-0.68
35,"nosleep",0.47,21.28,30.85,29.08,17.97,0.75,28.12,-0.11
37,"sleep",0.32,1.45,32.33,31.46,0.13,-0.17,0.55,0.4
31,"sleep",0.43,19.21,31.6,30.24,4.07,-0.55,8.88,0.41
36,"sleep",0.39,2.51,30.23,31.12,0.94,-0.04,1.24,-0.58
37,"nosleep",0.53,13.71,31.73,32.95,56.85,0.78,75.21,-0.41
38,"sleep",0.28,11.78,32.11,31.07,2.6,0.16,2.85,-0.1
39,"nosleep",0.2,6.32,32.13,32.2,8.61,0.45,12.37,-0.58
37,"sleep",0.29,14.62,30.39,29.54,0.46,0.14,0.81,-0.82
36,"sleep",0.38,2.46,29.95,30.83,1.05,-0.05,0.93,-0.58
29,"nosleep",0.26,7.67,24.68,23.14,196.19,1.03,104.01,-0.25
31,"nosleep",0.24,11.63,30.23,29.6,3.29,0.82,9.76,0.09
30,"nosleep",0.29,14.38,29.87,29.18,0.99,0.86,3.22,-0.46
38,"nosleep",0.3,29.92,30.45,29.78,377.86,0.87,173.32,-0.33
38,"sleep",0.21,7.87,31.66,30.32,7.2,-0.1,10.41,0.28
30,"sleep",0.67,0.87,32.67,31.5,0.14,-0.22,0.02,-0.84
36,"nosleep",0.53,12.93,31.14,32.24,31.32,0.73,41.26,-0.46
38,"sleep",0.46,7.29,32.78,32.43,0.21,-0.05,0.44,-0.67
24,"nosleep",0.12,25.53,27.48,26.55,5.72,0.54,5.85,-0.83
39,"sleep",0.09,12.45,32.75,31.55,7.29,0.31,6.22,0
32,"sleep",0.08,19.93,32.43,31.57,0.15,0.53,0.15,-0.59
38,"nosleep",0.74,93.82,28.4,29.11,1511.9,0.92,831.94,-0.33
36,"sleep",0.37,17.33,27.62,28.61,1.62,0.32,3.28,-0.68
34,"nosleep",0.23,5.74,29.96,27.9,63.73,1.1,58.31,0.12
39,"sleep",0.18,0.97,34.83,34.39,2.57,-0.34,1.47,0.11
38,"sleep",0.17,6.13,31.41,30.2,0.5,-0.05,0.79,-0.11
39,"nosleep",0.6,42.03,28.08,27.12,638.03,0.88,447.27,-0.48
36,"sleep",0.67,4.97,31.01,31.88,1.24,0.16,0.46,-0.97
37,"sleep",0.59,3.14,31.49,32.58,1.14,0.48,0.67,-0.49
35,"nosleep",0.44,16.6,30.9,29.74,41.2,0.98,45.14,-0.45
34,"nosleep",0.2,26.25,29.03,28.41,0.08,-0.86,0.76,0.42
37,"nosleep",0.51,13.22,31.02,32.5,19.7,-0.03,20.75,-0.82
30,"sleep",0.85,17.9,30.59,30.46,0,-0.18,0,0.19
38,"nosleep",0.32,24.13,28.45,26.78,109.57,0.86,65.84,-0.28
34,"nosleep",0.2,12.02,31.25,30.29,9.19,0.76,11.67,-0.51
30,"sleep",0.73,1.45,32.87,32.24,0,-0.07,0,-0.83
34,"sleep",0.57,-0.87,33.4,32.56,0.09,0.56,0.6,1.04
29,"nosleep",0.25,3.62,24.65,22.95,22.22,0.78,28.37,-0.63
31,"nosleep",0.32,22.1,31.55,30.72,26.83,0.73,39.38,-0.38
39,"nosleep",0.61,39.09,32.47,32.27,901.48,0.91,703.9,-0.32
39,"sleep",0.13,0.87,35.02,34.37,1.33,-0.25,5.83,0.25
39,"sleep",0.18,2.36,35.35,35.2,1.2,-0.13,2.84,0.11
24,"sleep",0.06,5.07,29.34,27.39,1.83,0.17,13.64,-0.41
38,"nosleep",0.21,11.44,30.75,30.16,1.36,-0.16,6.76,-0.86
37,"sleep",0.7,6.23,30.77,31.91,1.88,0.08,1.87,-0.81
39,"nosleep",0.25,64.96,26.14,25.72,1224,0.83,601.24,-0.56
39,"sleep",0.18,7.72,34.03,34.02,5.26,-0.29,4.24,0.06
37,"sleep",0.35,3.28,32.06,31.17,0.18,-0.04,0.23,0.29
46,"nosleep",0.66,14.67,26.22,24.61,90.42,0.74,88.54,0.42
39,"nosleep",0.7,55.55,26.06,25.67,490.48,0.88,437.91,-0.43
36,"sleep",0.35,18,27.84,29.11,0.79,-0.72,0.95,0.67
32,"sleep",0.12,8.16,32.68,31.5,0.55,0.52,0.93,0.02
31,"nosleep",0.49,33.69,31.58,30.43,172.31,0.88,207.75,-0.29
32,"sleep",0.04,28.43,32.77,31.23,4.5,0.47,7.48,0.07
36,"sleep",0.34,4.1,28.87,29.25,0.13,0.06,0.75,-0.74
39,"sleep",0.11,0.48,34.15,33.32,2.92,-0.28,5.03,0.17
35,"nosleep",0.28,15.54,31.29,30.29,29.76,0.79,31.34,-0.52
38,"nosleep",0.79,25.87,30.47,29.33,1379.3,0.93,698.71,-0.34
39,"nosleep",2.02,37.06,34.2,34.93,1025.9,0.73,364.41,-0.4
38,"sleep",0.52,7.48,32.46,32.28,2.45,-0.28,4.78,0.62
30,"sleep",0.39,3.86,30.12,29.26,0,-0.06,0,-0.59
34,"nosleep",0.33,23.02,31.19,30.17,253.22,0.91,239.17,-0.24
39,"sleep",0.19,3.81,34.2,34.16,8.44,-0.17,14.34,0.3
34,"nosleep",3.44,39.91,29.06,28.9,74.84,0.68,76.27,-0.61
35,"nosleep",0.35,6.52,31.89,30.63,0.46,1.1,0.3,-0.14
31,"nosleep",0.45,25.19,30.95,30.17,29.1,0.84,35.99,-0.62
31,"nosleep",1.33,20.56,32.36,31.54,19.14,0.76,25.84,-0.57
37,"sleep",0.53,3.81,29.06,29.95,0.46,0.28,0.53,-0.78
38,"sleep",0.25,7.24,32.16,30.87,0.29,0.17,1.7,-0.39
36,"sleep",0.38,2.85,30.21,31.33,0.73,-0.13,0.42,-1.03
34,"nosleep",0.15,20.03,31.73,30.22,7.16,0.93,8.31,-0.11
24,"nosleep",0.67,15.68,29.74,30.06,143.55,0.96,92.04,-0.11
39,"sleep",0.2,19.55,32.79,32.55,11.11,0.37,12.62,-0.4
35,"nosleep",0.44,15.25,31.75,30.41,5.15,0.83,4.7,-0.59
39,"sleep",0.13,1.88,34.44,34.31,3.4,-0.24,7.76,0.02
34,"nosleep",0.63,10.91,32.44,31.4,68.12,0.83,60.56,-0.46
39,"nosleep",0.22,23.84,33.29,32.57,238.97,0.26,317.59,-0.23
39,"sleep",0.75,4.39,34.27,33.97,1.36,-0.44,7.24,0.57
32,"nosleep",0.06,25.67,31.73,31.09,53.33,0.64,60.01,-0.46
32,"nosleep",0.03,28.18,29.68,28.77,41.39,0.36,68.05,-0.49
37,"sleep",0.25,4.15,29.05,29.95,0.22,0.11,0.26,-1.02
34,"nosleep",0.56,21.48,29.76,28.14,34.95,0.86,19.56,-0.33
30,"nosleep",0.28,13.51,29.55,28.78,19.35,0.55,25.84,-0.78
29,"nosleep",0.43,5.16,27.75,25.83,17.23,0.99,27.13,-0.33
36,"sleep",0.54,7.77,31.33,32.67,0.16,-0.12,0.31,-1.03
35,"nosleep",0.41,9.94,31.37,30,720.57,1.08,296.08,-0.28
37,"sleep",0.44,19.45,29.11,30.8,0.93,0.17,3.22,-0.57
36,"sleep",0.52,6.9,31.21,32.95,0.63,-0.02,0.61,-0.59
37,"sleep",0.31,4.34,30.96,31.77,0.21,0.11,0.46,-0.84
35,"nosleep",0.39,4.34,31.99,30.67,1.86,1.07,4.74,-0.19
31,"nosleep",0.58,30.55,30.3,29.78,58.55,0.72,97.19,-0.74
39,"nosleep",0.59,41.75,28.24,27.38,487.5,0.87,419.42,-0.43
37,"sleep",0.56,9.07,31.17,31.51,0.23,0.23,1.01,-0.86
32,"sleep",0.1,8.49,33.73,33.04,0.94,-0.12,1.56,-0.48
30,"sleep",3.68,0.77,31.96,31.11,0,-0.06,0,-0.76
37,"nosleep",0.28,16.55,28.93,30.47,29.12,0.96,42.41,-0.29
32,"sleep",0.33,18.73,32.95,32.24,1.44,0.03,2.82,-0.82
32,"nosleep",0.13,18.97,29.53,28.46,11.92,0.49,18.36,-0.58
31,"nosleep",0.4,23.84,31.51,30.79,66.99,0.82,73.77,-0.5
30,"sleep",0.74,13.95,29.95,29.95,0,0.38,0.51,0.04
37,"sleep",0.64,12.07,29.31,30.6,0.87,0.28,0.5,-0.9
29,"nosleep",0.44,1.25,30.33,28.24,33.87,0.74,31.44,-0.33
39,"sleep",0.34,2.99,33.87,33.36,1.49,-0.32,3.19,0.23
38,"nosleep",0.27,9.75,31.26,29.91,114.07,0.91,56.13,-0.03
31,"sleep",0.24,-2.51,31.12,29.86,0.97,0.5,2.95,-0.77
38,"sleep",0.52,9.75,31.79,30.36,0.35,0,0.59,-0.06
32,"sleep",0.28,13.75,31.75,30.87,1.5,0.16,1.46,-1.01
32,"sleep",0.63,14.48,33.49,32.51,0.7,0.47,2.04,-0.45
31,"nosleep",0.38,18.15,30.16,28.92,43.53,0.96,62.3,-0.1
31,"nosleep",0.32,22.54,31.56,30.76,8,0.92,12.92,-0.33
39,"sleep",0.12,5.6,33.4,31.39,5.02,-0.36,6.65,-0.83
38,"sleep",0.44,0.58,32.63,31.74,0.34,-0.27,0.68,0.39
37,"nosleep",0.2,10.62,29.1,28.33,10.1,0.81,6.19,-0.54
38,"sleep",0.21,5.12,31.51,30.2,0.4,0.5,0.37,-0.61
39,"nosleep",0.62,53.76,32.18,32.81,597.59,0.8,482.69,-0.31
37,"nosleep",0.35,15.25,30.46,32.17,20.78,0.34,43.44,-0.9
39,"sleep",0.18,2.32,34.32,33.32,2.65,-0.04,4.6,-0.68
