"age","tv","sensor1","sensor2","sensor3","sensor5","sensor6","sensor7","sensor8","sensor9"
35,"wtv",0.27,-0.68,31.29,29.39,11.65,1.13,8.23,-0.05
38,"ntv",0.5,7.91,32.01,31.2,18.4,0.8,19.01,-0.31
34,"wtv",0.36,12.64,31.13,30,150.48,0.93,164.74,-0.22
34,"wtv",0.23,22.73,30.19,28.73,8.63,0.41,7.32,-0.49
31,"wtv",0.54,20.08,31.21,30.49,3.29,0.39,8.85,-0.81
24,"wtv",0.07,7.34,32.41,31.39,7.41,0.74,5.02,-0.55
37,"wtv",0.25,11.25,31.94,30.62,11.48,0.67,17.48,-0.31
34,"wtv",0.18,20.37,29.15,28.64,131.55,0.81,126.49,-0.3
34,"wtv",0.42,13.08,31.56,30.15,7.4,1.14,5.12,-0.07
37,"ntv",0.57,21.48,27.35,28.26,1.2,0.15,17.67,-0.44
36,"ntv",0.66,12.07,31.98,33.69,99.63,0.43,75.9,-0.84
34,"ntv",0.52,17.37,33.28,32.01,43.86,1.03,44.92,-0.32
36,"ntv",0.44,12.07,30.05,31.45,0.34,0.42,1.22,-0.37
34,"wtv",0.19,8.3,31.42,30.29,46.49,0.74,49.17,-0.39
30,"wtv",0.3,11.49,30.86,29.88,9.69,0.24,13.71,-0.96
38,"ntv",0.3,3.19,33.5,32.87,0.53,-0.11,0.5,0.33
38,"ntv",0.22,1.25,33.04,32.11,0.55,-0.17,0.96,-0.17
24,"wtv",0.13,9.36,33.02,32.5,20.48,0.67,23.66,-0.51
31,"ntv",0.2,22.97,32.58,32.08,23.4,0.74,29.19,-0.58
34,"ntv",0.67,12.4,31.61,30.59,0.09,-0.01,0.17,-0.37
32,"wtv",0.08,13.32,32.41,31.38,4.48,0.57,6.1,-0.22
37,"wtv",0.35,13.32,28.71,30.04,4.03,0.65,22.75,-0.77
38,"ntv",0.29,1.64,32.4,32.06,0.27,-0.3,0.57,0.45
31,"wtv",0.26,28.96,32,30.81,0.11,0.95,2.19,-0.28
35,"wtv",0.28,6.56,31.34,29.81,0.42,1.12,5.06,-0.18
37,"ntv",0.25,4.2,29,29.93,0.26,0.11,0.37,-1.02
32,"ntv",0.12,2.94,30.53,29.75,1.6,-0.16,1.98,-0.31
31,"ntv",0.26,13.71,32.29,31.86,2.42,-0.56,3.85,-0.65
35,"wtv",0.5,12.64,31.54,30.54,29.56,0.97,30.21,-0.47
32,"ntv",0.2,16.17,32.7,31.63,0,0.71,0,-0.37
32,"ntv",0.07,21.52,31.96,31.11,10.07,0.55,20.68,-0.71
37,"ntv",0.36,3.72,30.72,31.58,0,-0.07,0.15,-1.03
35,"ntv",0.29,13.42,31.17,29.65,18.87,1.13,16.56,0.07
30,"ntv",0.36,14.38,31.82,30.6,18.96,0.88,25.4,-0.32
34,"wtv",1.69,2.94,32.82,32.1,7.17,0.96,6.09,0.09
34,"wtv",0.35,13.47,31.89,30.85,4.3,0.45,4.65,-0.65
31,"wtv",0.46,20.9,32.7,31.83,5.02,0.52,5.85,-0.15
34,"ntv",0.12,8.54,29.23,27.23,3.96,0.03,0.07,-0.76
35,"wtv",0.16,33.44,29.36,27.9,64.81,-0.57,62.2,0.46
30,"ntv",0.26,19.06,30.41,29,4.87,0.49,6.74,-0.26
37,"ntv",0.34,5.31,31.32,29.85,0.14,0.22,0.35,-1.03
34,"ntv",1.71,26.45,29.1,27.89,1257.3,0.86,754.16,-0.29
38,"wtv",0.75,13.9,31.94,31.35,26.18,0.25,32.41,0.05
37,"wtv",0.34,13.95,28.63,30.13,21.65,0.29,45.77,-0.78
38,"wtv",0.36,6.47,32.61,31.39,0.06,-0.04,0.39,-1.06
37,"wtv",0.12,19.06,28.24,29.07,100.2,0.66,54.28,-0.52
31,"ntv",0.28,16.36,31.12,29.82,65.88,0.66,93.61,-0.7
34,"ntv",0.4,11.05,33.24,32.58,73.76,0.74,48.34,-0.34
38,"wtv",0.27,4.54,32.26,30.42,9.48,0.46,16.86,0.64
35,"ntv",0.31,16.94,30.69,29.89,3.83,0.8,4.25,-0.48
37,"ntv",0.55,2.8,31.36,32.75,0.23,-0.07,0.49,-1.04
30,"wtv",0.28,16.22,30.24,29.07,10.12,-0.83,16.27,-0.14
32,"ntv",0.28,5.12,32.82,32.05,0.96,-0.32,0.78,0.68
35,"wtv",0.27,13.56,30.95,29.54,0.43,-0.93,0.13,0.49
37,"wtv",0.25,10.38,32.13,30.95,0.86,0.56,1.6,-0.18
38,"wtv",0.6,9.27,32.36,31.44,0.31,0.92,0.65,0.12
31,"ntv",0.12,2.08,32.63,31.04,0.79,-0.22,1.29,-0.23
38,"ntv",0.27,12.31,30.78,29.54,1.1,-0.04,1.3,-0.32
31,"wtv",1.07,14.86,31.87,30.31,14.41,-0.14,19.7,-0.04
30,"ntv",0.58,3.38,31.82,31.15,0,0,0,-1
34,"ntv",0.16,15.68,29.77,27.97,35.48,0.77,21.86,-0.48
31,"wtv",0.23,23.02,31.63,30.52,19.94,-0.78,22.72,-0.32
39,"ntv",0.31,54.44,28.57,28.33,558.42,0.84,457.55,-0.27
37,"ntv",0.35,22.44,26.59,28.26,1.42,0.13,2.73,-0.51
38,"ntv",7.54,11.53,30.7,29.45,0.19,0.1,0.5,-0.89
32,"ntv",0.06,19.55,31.38,30.66,28.76,0,55.91,0.62
30,"ntv",0.71,6.08,29.7,28.74,1.96,0.42,2.91,-0.03
35,"wtv",0.51,9.75,31.68,30.57,10.84,1.12,9.93,-0.18
36,"ntv",0.54,2.46,31.48,33.03,0.24,0,0.67,-0.98
38,"ntv",0.38,4.25,32.38,31.52,0.45,-0.1,0.35,-0.5
25,"wtv",0.89,9.85,32.03,30.82,7.06,0.21,8.56,-0.82
30,"wtv",0.18,13.03,29.62,28.21,0.26,0.63,0.19,-0.51
32,"ntv",0.09,3.91,33.61,32.86,0.07,-0.39,0,0.33
35,"wtv",0.28,5.5,31.15,29.52,16.93,1.12,19.42,-0.07
38,"wtv",0.26,11.49,32.7,31.72,3.32,0.57,5.82,-0.52
37,"wtv",0.25,12.11,31.64,30.29,5.98,0.74,7.27,-0.23
31,"wtv",0.47,21.43,32.73,31.85,0.08,-0.52,0.02,0.33
34,"wtv",0.2,25.43,29.74,28.24,9.07,1.14,11.58,-0.11
25,"wtv",0.92,11,31.87,30.63,0.02,0.41,0.06,-0.59
31,"wtv",0.51,18.97,30.87,30.21,0.78,-0.02,2.89,-1.28
34,"wtv",0.17,12.93,31.07,30.09,20.02,0.47,26.63,-0.46
30,"ntv",0.32,6.71,30.56,29.09,0,-0.05,0.13,-0.85
31,"wtv",0.27,29.73,32.32,31.44,19.31,0.5,24.77,-0.72
35,"wtv",0.43,5.84,31.25,29.5,7.98,0.98,9.04,-0.31
34,"ntv",0.15,-1.74,31.27,29.08,0,0.18,0.31,-0.99
31,"ntv",0.2,16.6,30.49,28.68,46.9,0.97,62.17,-0.13
38,"ntv",1.49,35.47,30.71,28.81,86.68,0.79,68.65,-0.27
34,"wtv",0.2,10.62,31.63,30.54,1.63,1.09,1.8,0.09
35,"wtv",0.43,8.45,31.94,30.76,1.27,0.59,0.76,0.08
38,"ntv",8.58,10.52,32.21,31.2,0.11,0.73,0.39,-0.36
38,"wtv",0.33,9.31,31.77,30.34,0.34,0.84,0.65,-0.14
37,"ntv",0.53,5.89,30,31.31,0.59,-0.01,2.25,-0.95
37,"ntv",0.36,12.69,31.04,31.78,0.9,0.45,0.84,-0.72
39,"ntv",0.98,77.7,30.68,32.68,1166.3,0.82,394.77,-0.57
31,"wtv",0.46,17.81,30.73,30.04,19.51,0.67,31.14,-0.62
35,"ntv",0.28,19.55,30.06,28.79,3.35,0.97,4.06,-0.44
38,"wtv",0.31,11.15,31.72,30.23,2,0.63,2.59,-0.17
37,"ntv",0.29,1.88,31.24,30.4,0.57,-0.1,0.42,-0.2
35,"wtv",0.43,18.58,31.85,30.99,4.66,-0.01,6.45,0.29
39,"ntv",0.14,4.39,33.63,32.78,2.04,0.16,5.25,-0.21
35,"wtv",0.43,20.41,30.8,29.19,5.1,0.89,9.78,-0.42
36,"ntv",0.53,2.9,29.93,31,0.13,0.11,0.12,-0.71
37,"wtv",0.33,15.01,30.03,31.56,8.16,-0.63,10,0.81
34,"ntv",0.4,21.77,31.86,30.66,7.3,1.05,10.35,-0.31
37,"ntv",0.45,13.85,31.89,31.72,0.02,-0.19,0.36,0.36
36,"wtv",0.82,11.2,29.77,31.25,9.76,0.85,16.89,-0.42
37,"ntv",0.73,12.89,29.68,31.02,1.04,0.07,0.29,-1.03
35,"wtv",0.53,9.12,31.66,30.56,6.4,0.93,5.73,-0.49
31,"wtv",0.5,21.09,31.41,30.45,4.78,0.94,12.42,-0.47
36,"ntv",0.57,8.98,29.47,30.74,1,-0.14,0.48,-1.04
37,"wtv",0.36,11.63,29.24,31,19.89,0.27,27.33,-0.81
37,"wtv",0.2,14.48,29.54,30.85,12.51,0.85,16.47,-0.28
37,"wtv",0.44,10.38,30.87,31.93,7.45,0.82,8.45,-0.16
37,"wtv",0.36,12.02,29,30.54,1.04,-1.06,2.12,0.27
34,"wtv",1.61,8.45,32.47,31.97,29.33,0.91,20.2,-0.3
34,"wtv",0.24,-1.35,32.27,30.93,75.24,0.86,68.66,-0.27
31,"ntv",0.46,24.37,30.26,29.69,27.98,0.87,55.74,-0.6
37,"ntv",0.29,11.58,29.78,31.29,166.36,0.9,142.57,-0.32
31,"wtv",0.26,18.92,33.23,31.95,1.57,0.23,3.58,-0.72
31,"ntv",0.99,19.74,29.63,28.48,57.13,0.82,86.05,-0.58
34,"ntv",3.43,22.25,29.92,29.06,286.88,4.42,179.98,-0.15
30,"wtv",0.17,12.98,28.63,27.57,3.44,0.8,8.75,-0.52
32,"ntv",0.24,11.05,31.73,30.63,0,0.66,0.14,-0.49
30,"wtv",0.32,12.21,30.98,30.08,11.84,0.12,24.8,-0.71
34,"wtv",0.18,15.01,31.61,30.61,3.82,0.79,5.97,-0.56
31,"wtv",0.21,16.26,31.15,29.52,39.61,0.84,31.36,-0.43
24,"wtv",0.05,6.37,32.46,31.38,3.62,0.53,9.69,-0.66
31,"wtv",0.46,23.45,30.92,30.32,9.45,0.72,24.68,-0.9
38,"wtv",0.33,10.14,31.64,30.2,0.45,0.78,0.89,-0.17
34,"wtv",0.49,10.71,31.94,30.89,33.62,1.05,20.2,-0.3
34,"wtv",0.16,14.91,31.03,30.09,13.69,0.66,18.51,-0.03
38,"wtv",0.73,10.57,32.16,31.37,32.52,0.74,47.09,-0.29
31,"wtv",0.23,20.03,31.78,30.77,25.48,0.65,28.15,-0.71
24,"wtv",0.05,8.35,32.41,31.49,11.62,0.44,15.69,-0.66
35,"wtv",0.2,14.77,30.91,29.59,12.48,0.86,10.14,-0.29
34,"wtv",0.57,9.07,32.02,31,15.32,0.96,17.21,-0.43
38,"wtv",0.33,10.47,32.18,31.07,4.74,0.91,6.27,-0.3
31,"ntv",0.28,18.24,31.21,30.45,12.61,0.94,29.13,-0.42
36,"ntv",1.51,19.74,31.36,32.52,7.92,0.65,29.1,-0.68
32,"ntv",0.15,4.34,31.78,30.41,1.09,0.05,1.16,-0.97
39,"ntv",0.28,32.77,29.51,28.74,596.41,0.84,359.93,-0.48
31,"ntv",0.36,23.45,30.06,28.85,16.78,0.78,27.68,-0.52
32,"ntv",0.25,3.04,33.71,33.18,0.29,0.4,0.48,-0.22
43,"ntv",2.19,29.97,31.17,30.36,0.02,0.13,0.07,0.68
31,"wtv",0.59,17.66,31.53,31.2,0.29,-0.31,2.15,-0.84
39,"ntv",0.36,81.08,29.51,30.67,1298,0.78,529.7,-0.58
37,"ntv",0.82,18.58,30.26,31.67,0.62,0.34,3.13,-0.22
39,"ntv",0.4,22.39,32.84,31.99,352.16,-0.59,426.32,-0.27
34,"wtv",1.18,6.32,32.53,31.84,0,0.35,0.79,-0.84
31,"wtv",0.49,14.09,31.46,30.43,1.58,0.39,4.56,-0.77
34,"wtv",0.3,15.3,31.73,30.93,20.06,-0.92,19.8,-0.43
32,"wtv",0.11,4.87,32.65,31.59,47.66,0.53,42.71,-0.24
39,"ntv",0.18,3.19,34.69,34.7,2.37,-0.2,3.79,0.28
30,"ntv",1.56,4.1,30.11,29.45,0,-0.12,0,0.97
31,"wtv",0.53,23.5,31.16,30.52,13.95,0.81,27.38,-0.56
24,"wtv",0.07,10.76,31.92,31.21,2.53,0.46,0.79,-0.92
36,"wtv",0.83,9.8,29.8,31.27,7.38,0.49,12.79,-0.79
38,"ntv",0.41,7.43,31.31,30.78,0.41,-0.4,0.36,0.67
31,"ntv",1.31,-0.34,32.92,32.39,0,-0.37,0.02,0.58
31,"wtv",0.85,17.81,31.41,30.08,0.44,0.84,0.46,-0.26
35,"ntv",0.44,13.75,31.9,31.04,2.76,0.81,2.29,-0.42
34,"wtv",0.24,12.6,30.64,29.39,32.16,0.09,40.03,-0.19
37,"wtv",0.39,15.01,30.74,32.45,2.48,-0.77,4.19,0.5
34,"ntv",0.23,8.45,29.64,27.17,95.32,0.96,65.63,-0.22
39,"ntv",1.22,-7.38,35.05,34.6,91.23,0.53,80.23,-0.67
38,"ntv",0.23,20.17,29.82,28.9,5.36,-0.61,16.23,0.78
32,"ntv",0.75,13.71,33.83,32.87,2.56,0.07,4.02,-0.53
30,"ntv",0.34,16.41,30.48,29.52,36.71,0.83,53.69,-0.39
38,"ntv",0.34,13.51,31.27,30.23,11.89,0.8,14.48,-0.16
46,"ntv",3.22,31.51,29.7,27.26,115.53,0.84,116.03,0.45
35,"ntv",0.29,15.4,30.09,28.81,22.59,0.74,30.68,-0.56
24,"wtv",0.07,8.78,31.97,31.15,10.39,-0.83,15.83,-0.13
31,"ntv",1.03,20.46,32.97,32.25,12.25,0.87,15.77,-0.42
31,"ntv",0.29,17.86,31.02,30,144.95,0.88,159.3,-0.5
31,"wtv",0.28,31.13,32.82,31.87,0.3,-0.7,0.68,0.58
24,"ntv",0.05,13.51,31.12,30.62,12.08,-0.11,18.93,-0.94
30,"wtv",0.18,16.94,29.39,28.11,4.16,0.46,6.65,-0.83
39,"ntv",0.15,2.56,34.32,33.72,5.54,0.43,3.17,0.24
34,"wtv",0.18,15.97,31.53,30.65,1.8,0.56,2.01,-0.79
38,"ntv",0,0,0,-273.15,12.46,-0.08,14.31,0.36
31,"wtv",0.28,17.42,31.32,29.73,0.51,0.4,1.01,-0.74
32,"ntv",0.08,25.05,30.8,31.05,2.68,-0.1,1.23,1.03
35,"wtv",0.43,7.19,32.39,31.4,1.47,0.34,1.17,0.12
31,"wtv",0.66,22.54,32.4,30.79,27.52,0.17,38.92,-0.61
32,"ntv",0.07,10.91,32.73,32.16,0,-0.23,0,0.94
37,"ntv",0.26,4.63,33.09,32.73,0.17,-0.27,0.07,0.47
34,"wtv",0.51,-0.72,32.33,30.95,15.96,0.94,7.1,0.07
35,"wtv",0.24,19.26,29.25,27.27,31.91,0.4,28.08,-0.21
35,"wtv",0.28,19.88,28.7,26.9,20.75,1.14,15.05,-0.13
38,"ntv",0.31,9.56,30.32,29.35,9.08,-0.02,15.81,-0.41
31,"wtv",0.56,17.76,30.92,30.19,14.01,0.86,31.79,-0.56
31,"wtv",0.45,23.55,31,30.17,1.83,0.55,4.66,-0.5
43,"ntv",2.24,16.65,32.27,32.04,0.03,-0.87,0,0.53
36,"ntv",0.57,5.6,30.44,31,0.87,0.13,0.23,-0.78
37,"ntv",0.22,11.2,32.04,30.63,0.29,-0.08,0.54,-0.02
38,"wtv",0.31,12.02,30.6,29.74,4.3,0.84,4.1,-0.29
34,"wtv",1.49,9.31,32.77,32.08,0.41,0.63,2.91,-0.76
31,"wtv",0.24,23.36,31.48,30.28,3.92,0.62,6.2,-0.65
34,"wtv",0.21,8.93,31.78,30.65,7.38,0.7,7.73,-0.28
37,"ntv",0.21,14.33,30.32,29.04,16.86,0.91,15.49,-0.25
36,"ntv",0.29,7.19,30.59,31.62,142.38,0.59,70.16,-0.54
34,"wtv",0.37,9.89,31.73,30.15,5.11,1.13,3.34,-0.15
34,"wtv",0.16,11.2,31.22,30,6.55,0.59,2.59,-0.48
37,"ntv",0.3,17.23,29.28,31,214.15,0.91,150.38,-0.35
37,"wtv",0.32,10.96,28.92,30.24,32.85,0.82,53.59,-0.53
38,"ntv",0.46,32.19,29.59,28.03,75.32,0.61,108.13,-0.48
37,"wtv",0.24,11.78,31.96,30.82,2.39,0.91,3.52,-0.21
37,"wtv",0.38,13.32,30.44,31.71,115.6,0.95,86.78,-0.18
30,"wtv",0.18,19.74,29.42,28.15,0.97,0.5,1.22,-0.83
32,"ntv",0.18,12.6,31.77,31.59,1.61,-0.28,1.2,0.86
35,"wtv",0.29,11.82,30.75,29.17,6.85,0.95,4.3,0.28
30,"ntv",0.51,8.01,31.34,30.58,0.12,0.51,0,-0.58
39,"ntv",0.17,2.85,34.5,33.89,28.81,-0.11,37.16,0.03
37,"ntv",0.59,21.33,30.54,32.08,1.75,0.43,2.7,-0.64
38,"wtv",0.39,10.91,30.71,29.53,0.49,0.9,0.66,-0.34
38,"wtv",0.25,15.15,30.62,29.4,0.76,0.76,1.16,0.42
31,"ntv",0.31,18.53,31.89,31.18,4.05,0.5,11.39,-1.1
34,"wtv",0.46,12.26,30.81,29.37,0.51,1,0.23,-0.14
37,"ntv",0.25,17.9,29.88,28.92,0.65,-0.62,1.24,0.86
31,"wtv",0.33,18.53,32.48,31.46,20.73,0.97,27.7,0
37,"wtv",0.2,15.49,29.5,30.83,78.65,0.89,85.56,-0.23
32,"ntv",0.23,5.12,33.56,32.22,2.49,0.53,3.36,-0.6
36,"wtv",0.82,9.75,29.83,31.27,16.32,0.82,26.52,-0.44
37,"wtv",0.22,12.98,30.52,29.15,0.12,0.92,0.46,0.06
30,"wtv",0.18,19.74,29.5,28.37,9.2,0.29,13.74,-0.86
31,"wtv",0.51,20.66,32.77,31.89,0.16,-0.17,0.11,-0.41
39,"ntv",0.96,77.51,27.84,30.82,1126.9,0.78,548.55,-0.4
37,"ntv",0.26,13.37,29.6,31.16,63.17,0.38,63.85,-0.66
30,"wtv",0.3,15.44,30.69,29.76,11.85,-1.01,23.71,0.15
34,"wtv",0.2,4.2,31.85,30.74,17.36,1,15.14,-0.16
31,"wtv",0.46,21.91,31.09,30.17,9.12,0.57,7.58,-0.47
36,"ntv",1.09,9.22,30.57,32.17,136.16,0.81,109.43,-0.39
35,"wtv",0.2,15.25,30.86,29.61,21.08,-0.25,19.67,0.26
32,"ntv",0.24,2.75,33.55,33.01,0.81,0.35,0.64,-0.18
38,"wtv",0.55,14.09,32.92,32.11,7.51,0.73,10.65,-0.39
38,"wtv",0.26,5.5,32.24,30.43,2.31,0.45,4.76,0.66
37,"wtv",0.44,10.28,30.89,31.91,10.54,0.92,15.33,-0.4
30,"ntv",0.53,7.77,32.06,30.88,2.71,-0.03,1.45,-0.77
34,"wtv",0.43,12.07,31.68,30.09,23.68,0.81,16.81,-0.61
34,"wtv",0.24,15.54,30.93,30.13,33.57,0.74,33.28,-0.35
37,"wtv",0.27,15.3,30.04,29.11,2.15,0.86,2.47,-0.29
37,"wtv",0.37,12.84,30.64,32.34,1.44,-0.74,1.66,0.77
37,"wtv",0.24,8.88,32.16,30.87,0.52,0.79,0.85,-0.12
37,"wtv",0.4,6.66,31.11,32.21,1.76,-0.03,0.19,-1.02
30,"ntv",0.8,9.46,32.13,31.15,0.05,-0.05,0.02,-0.73
38,"ntv",0.26,12.36,32.53,31.54,0.16,-0.6,0.39,0.78
39,"ntv",0.22,3.09,33.7,32.76,6.24,0.13,8.75,-0.96
38,"ntv",0.58,13.42,30.99,29.96,10.36,0.65,13.69,-0.29
34,"ntv",1.77,12.21,31.47,30.54,44.29,0.21,47.18,-0.41
30,"wtv",0.64,21.43,30.26,29.09,84.87,0.68,60.26,-0.3
31,"ntv",0.27,21.77,29.6,28.81,5.98,0.89,13.27,-0.54
31,"ntv",0.12,13.08,30.24,28.48,22.62,0.7,25.31,-0.49
37,"ntv",0.75,14,28.69,30.33,216.24,0.98,142.74,-0.22
39,"ntv",0.34,3.19,33.84,32.96,6.17,-0.48,3.44,0.6
32,"ntv",0.15,24.66,32.17,30.94,18.33,0.43,32.5,-0.73
38,"wtv",0.43,13.08,32.01,31.5,12.08,-0.27,20.66,-0.47
35,"wtv",0.55,8.64,31.66,30.29,0.26,0.82,0.08,-0.09
31,"ntv",1.58,22.73,28.71,28.32,2.76,-0.74,2.69,0.68
34,"ntv",0.27,7.05,29.73,27.4,103.95,0.91,69.73,-0.08
35,"wtv",0.43,19.55,30.63,29.06,23.01,0.63,42.64,-0.62
35,"wtv",0.18,24.28,28.43,26.79,17.24,-0.43,16.84,-0.33
37,"wtv",0.38,13.56,29.08,30.92,0.42,-1.06,1.05,0.29
35,"wtv",0.28,8.83,31.25,29.81,4.11,1.12,5.59,-0.2
38,"ntv",0.2,3.57,31.31,30.02,4.72,-0.67,6.57,0.74
31,"wtv",0.46,22.68,31,30.36,8.83,0.72,15.41,-0.91
30,"ntv",0.33,15.15,30.66,29.6,61.57,0.79,87.68,-0.53
37,"wtv",0.38,11.44,29.37,31.11,5.33,-0.71,12.26,-0.08
35,"wtv",0.41,22.01,30.81,29.06,5.12,0.94,5.51,-0.33
34,"wtv",0.43,8.54,30.69,29.23,2.53,1.08,0.24,-0.26
34,"wtv",0.25,4.15,32.23,30.99,0.57,0.85,2.17,-0.6
24,"wtv",0.07,5.69,32.36,31.32,34.2,0.44,47.26,-0.47
38,"ntv",0.3,7.19,31.76,31.15,1.76,-0.08,1.46,-0.45
37,"ntv",1.05,5.98,31.39,30.54,0.07,0.32,0.5,0.63
37,"ntv",0.33,13.22,28.79,30.08,115.14,0.92,133.16,-0.31
35,"wtv",0.48,2.03,32.06,30.57,4.25,1.12,3.36,-0.16
35,"wtv",0.27,9.27,31.22,29.57,3.56,-0.94,4.35,0.45
34,"wtv",0.23,9.07,31.47,29.52,20.05,-0.4,20.03,0.13
31,"wtv",0.77,15.11,32.9,31.4,5.15,0.81,7.8,-0.54
39,"ntv",0.88,21.81,35.55,35.47,629.21,0.76,325.65,-0.59
24,"wtv",0.2,5.89,33.53,33.04,0.46,0.54,0.42,-0.6
37,"ntv",0.52,16.99,30.19,31.75,56.82,0.51,48.86,-0.76
34,"wtv",0.22,13.37,30.26,28.97,0.63,0.57,0.92,-0.55
32,"ntv",0.08,17.71,32.4,31.07,1.19,0.16,1.46,-0.69
37,"wtv",0.21,10.18,30.96,29.85,3.6,0.57,4.63,-0.17
34,"wtv",0.42,10.38,31.78,30.33,16.66,0.18,14.26,0.09
38,"ntv",0.47,2.99,33.28,32.23,0.04,-0.14,0.4,-0.93
31,"wtv",0.59,18,31.56,31.26,1.93,-0.26,7.11,-0.74
37,"wtv",0.21,9.99,31.01,29.83,1.53,0.92,0.85,-0.29
37,"wtv",0.24,13.42,31.52,30.14,1.48,0.89,1.33,-0.09
31,"wtv",0.59,19.98,31.02,30.79,19.77,0.87,35.32,-0.61
30,"wtv",0.3,12.79,30.81,29.95,20.99,0.74,20.91,-0.64
39,"ntv",0.43,9.02,32.84,33.55,68.21,0.06,105.37,-0.48
37,"wtv",0.44,8.25,31.07,32.15,29.1,0.25,36.29,-0.7
34,"ntv",0.22,11.58,31.11,30.43,31.69,0.67,49.4,-0.45
30,"wtv",0.3,13.37,30.81,29.86,43.63,0.62,93.52,-0.71
31,"wtv",0.68,23.84,32.4,30.79,69.8,0.58,129.32,-0.59
36,"ntv",0.53,3.47,30.97,31.67,0.14,0.06,0.14,-0.48
31,"ntv",0.38,17.37,31.27,29.91,360.8,0.75,273.18,-0.4
38,"wtv",0.43,10.04,32.13,31.52,2.34,0.47,5.1,-0.48
37,"ntv",0.3,10.23,32.33,31.24,0.26,0.09,0.37,-0.58
