@relation 'context2_b01-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,2'

@attribute Age numeric
@attribute Sensor1 numeric
@attribute Sensor2 numeric
@attribute Sensor3 numeric
@attribute Sensor5 numeric
@attribute Sensor6 numeric
@attribute Sensor7 numeric
@attribute Sensor8 numeric
@attribute Sensor9 numeric
@attribute Sleep {nsleep,sleep}

@data
38,0.31957,10.955,31.357,30.269,127.6,0.86571,76.556,-0.19282,nsleep
38,0.31957,10.279,31.391,30.251,49.306,0.85489,32.745,-0.21928,nsleep
38,0.31957,9.6037,31.407,30.233,42.485,0.87654,26.594,-0.22684,nsleep
38,0.31957,8.8798,31.424,30.214,30.787,0.86211,27.955,-0.24575,nsleep
38,0.31957,8.542,31.457,30.196,51.777,0.87654,29.543,-0.24197,nsleep
38,0.31957,8.8316,31.457,30.196,20.918,0.85489,21.467,-0.20794,nsleep
38,0.31069,9.845,31.44,30.178,25.585,0.86932,18.322,-0.17391,nsleep
38,0.31069,9.9416,31.424,30.16,18.728,0.909,9.9736,-0.18148,nsleep
38,0.31069,10.376,31.407,30.142,64.824,0.89457,29.966,-0.2155,nsleep
38,0.31069,10.907,31.374,30.123,41.702,0.86932,27.32,-0.25331,nsleep
38,0.31069,11.389,31.357,30.105,39.931,0.88014,28.019,-0.16257,nsleep
38,0.31069,11.534,31.308,30.087,61.78,0.73225,44.337,-0.29112,nsleep
38,0.39059,12.451,31.274,30.051,130.87,0.36432,176.13,-0.42722,nsleep
38,0.33732,12.355,31.241,30.015,143.89,0.64929,125.17,-0.23063,nsleep
38,0.3462,11.486,31.241,30.015,332.54,0.89457,161.08,-0.32136,nsleep
38,0.3462,9.3142,31.258,30.033,344.24,0.90539,150.65,-0.3138,nsleep
38,0.3462,8.2525,31.258,30.051,352,0.89818,161.97,-0.32514,nsleep
38,0.3462,8.542,31.258,30.069,400.89,0.89096,185.99,-0.34027,nsleep
38,0.3462,9.4107,31.241,30.069,350.21,0.90179,155.63,-0.32136,nsleep
38,0.15979,29.632,30.189,29.797,918.67,0.86571,523.45,-0.35917,nsleep
38,0.15091,46.909,29.701,29.743,1645.3,0.88375,950.9,-0.35539,nsleep
38,0.15091,49.66,29.426,29.725,1661.6,0.89818,934.67,-0.33271,nsleep
38,0.15091,47.343,29.394,29.707,1651.2,0.88736,925.51,-0.33271,nsleep
38,0.22192,56.898,29.056,29.653,1627,0.89818,838.77,-0.33649,nsleep
38,0.35508,56.03,28.976,29.743,1731.8,0.909,882.74,-0.32514,nsleep
38,0.40834,49.032,28.992,29.743,1671.5,0.91621,905.33,-0.31758,nsleep
38,0.4616,57.96,28.847,29.815,1564.2,0.93786,806.07,-0.27978,nsleep
38,0.47048,65.634,28.575,29.87,1683.4,0.91621,857.11,-0.31002,nsleep
38,0.49711,65.73,28.4,29.743,1678.5,0.89096,813.27,-0.34027,nsleep
38,0.50599,55.451,28.495,29.671,1715.1,0.90539,906.62,-0.31758,nsleep
38,0.52374,42.034,29.008,29.634,1636.4,0.91261,820.95,-0.31002,nsleep
38,0.55037,35.761,29.556,29.725,1567.6,0.90179,760.34,-0.31002,nsleep
38,0.58588,37.015,29.831,30.015,1649.4,0.92704,829.16,-0.29112,nsleep
38,0.577,60.084,29.604,30.305,1509.1,0.91982,753.61,-0.30246,nsleep
38,0.58588,66.164,29.281,30.469,1591.4,0.91982,806.78,-0.29868,nsleep
38,0.59476,64.331,29.249,30.579,1590.4,0.91261,778.61,-0.30246,nsleep
38,0.67465,56.464,29.491,30.579,1598,0.88736,836.22,-0.34405,nsleep
38,0.61251,57.526,29.653,30.579,1584,0.91261,754.58,-0.3138,nsleep
38,0.58588,61.001,29.701,30.597,1512.7,0.91261,752.1,-0.30624,nsleep
38,0.55925,66.744,29.62,30.616,1574.7,0.91621,773.22,-0.30624,nsleep
38,0.55037,65.585,29.556,30.652,1553.1,0.91621,727.14,-0.31002,nsleep
38,0.54149,61.001,29.766,30.762,1646.7,0.91621,759.51,-0.32136,nsleep
38,0.53262,66.695,29.718,30.78,1570.3,0.90539,771.66,-0.32136,nsleep
38,0.51486,62.207,29.799,30.671,1471.9,0.92704,745.36,-0.2949,nsleep
38,0.50599,62.448,29.864,30.579,1591,0.90539,766.11,-0.32136,nsleep
38,0.52374,58.539,29.929,30.469,1649.2,0.89096,805.2,-0.35539,nsleep
38,0.49711,56.657,30.173,30.433,1359.3,0.86211,710.97,-0.36295,nsleep
38,0.50599,60.711,30.157,30.506,1598.7,0.89818,763.53,-0.32514,nsleep
38,0.49711,56.657,30.336,30.579,1474.5,0.90179,736.04,-0.32514,nsleep
38,0.55037,67.757,30.157,30.634,1215.3,0.89096,657.62,-0.20794,nsleep
38,0.58588,64.91,30.189,30.652,1630.5,0.89096,825.11,-0.34405,nsleep
38,0.54149,64.572,30.173,30.616,1647.9,0.88736,774.62,-0.32893,nsleep
38,0.52374,58.202,30.353,30.597,1546.9,0.88736,761.09,-0.32893,nsleep
38,0.52374,56.223,30.582,30.689,1617.1,0.89457,820.86,-0.34027,nsleep
38,0.52374,66.02,30.353,30.854,1678.5,0.89818,868.4,-0.34027,nsleep
38,0.52374,70.604,30.091,30.964,1535.1,0.89818,790.54,-0.32893,nsleep
38,0.54149,54.244,30.304,30.927,272.98,0.77193,225.43,-0.46125,nsleep
38,0.49711,55.161,30.533,31.019,167.66,0.62404,238.81,-0.6276,nsleep
38,0.48823,56.609,30.582,31.093,194.43,0.60239,275.9,-0.63895,nsleep
38,0.47048,54.727,30.746,31.019,204.43,0.59879,310.5,-0.66163,nsleep
38,0.47048,54.437,30.746,30.982,266.83,0.84046,197.12,-0.4121,nsleep
38,0.47048,67.564,30.402,30.982,230.81,0.72864,222.22,-0.53687,nsleep
38,0.47048,64.717,30.238,30.891,283.33,0.86211,176.96,-0.38942,nsleep
38,0.47048,58.732,30.271,30.762,247.09,0.69979,253.42,-0.56333,nsleep
38,0.4616,47.198,30.533,30.891,209.53,0.66732,257.54,-0.61626,nsleep
38,0.47048,41.89,30.795,31.019,286.49,0.89457,181.67,-0.34405,nsleep
38,0.17754,10.135,30.157,29.22,139.6,0.89457,96.341,-0.35539,nsleep
38,0.18642,10.569,30.157,29.238,265.89,0.90179,158.42,-0.32893,nsleep
38,0.18642,10.424,30.173,29.238,223.53,0.90539,130.21,-0.3138,nsleep
38,0.18642,10.472,30.189,29.256,235.51,0.89818,142.24,-0.33649,nsleep
38,0.18642,9.9416,30.206,29.31,181.33,0.90179,115.03,-0.34405,nsleep
38,0.18642,9.4107,30.222,29.364,174.98,0.90179,112.4,-0.32893,nsleep
38,0.18642,9.4107,30.238,29.436,266.4,0.90179,177.5,-0.32893,nsleep
38,0.18642,9.2659,30.271,29.472,243.99,0.90179,153.6,-0.32136,nsleep
38,0.18642,9.6037,30.304,29.508,275.58,0.89818,196.72,-0.32893,nsleep
38,0.18642,11.293,30.287,29.49,284.74,0.90539,151.33,-0.28356,nsleep
38,0.18642,15.878,30.157,29.472,293.03,0.81161,166.83,-0.33649,nsleep
38,0.19529,17.615,30.075,29.454,290.92,0.92343,139.47,-0.27599,nsleep
38,0.19529,19.497,29.945,29.4,263.5,0.91982,128.55,-0.26465,nsleep
38,0.24855,21.041,29.847,29.328,266.89,0.92343,140.48,-0.25709,nsleep
38,0.33732,22.055,29.734,29.22,277.16,0.91261,151.85,-0.27599,nsleep
38,0.39059,21.379,29.701,29.149,332.33,0.909,167,-0.26843,nsleep
38,0.36396,23.31,29.653,29.095,413,0.92343,176.8,-0.26087,nsleep
38,0.37283,24.033,29.54,29.005,260.65,0.92343,132.2,-0.23819,nsleep
38,0.37283,28.232,29.346,28.898,254.79,0.92343,129.51,-0.25331,nsleep
38,0.39946,22.151,29.378,28.826,257.28,0.91982,127.3,-0.25709,nsleep
38,0.38171,20.366,29.41,28.791,260.06,0.91982,130.92,-0.26087,nsleep
38,0.39059,17.615,29.459,28.773,264.94,0.91621,137.5,-0.25331,nsleep
38,0.39059,18.291,29.491,28.791,264.22,0.909,141.58,-0.25709,nsleep
38,0.39059,16.891,29.491,28.791,383.61,0.91621,187.15,-0.31002,nsleep
38,0.39059,12.789,29.604,28.808,293.17,0.909,148.25,-0.27221,nsleep
38,0.39059,12.692,29.669,28.862,291.36,0.87654,149.74,-0.3138,nsleep
38,0.39059,13.03,32.243,31.351,91.611,0.65289,110.43,-0.2949,nsleep
38,0.35508,12.355,32.243,31.388,0.29579,0.88014,0.91116,-0.38186,nsleep
38,0.32845,12.065,32.277,31.407,0.47614,0.88375,1.5312,-0.35539,nsleep
38,0.31069,11.582,32.31,31.425,0.78275,0.88014,0.96787,-0.37051,nsleep
38,0.31069,11.968,32.327,31.444,16.236,0.84046,26.545,-0.44991,nsleep
38,0.30182,12.885,32.327,31.462,1.212,0.81521,2.9565,-0.53309,nsleep
38,0.29294,13.32,32.31,31.481,1.6196,0.81161,2.4046,-0.54065,nsleep
38,0.29294,13.32,32.31,31.481,0.53386,0.79357,2.1815,-0.55955,nsleep
38,0.27519,13.32,32.293,31.499,1.0533,0.79357,2.0794,-0.55199,nsleep
38,0.26631,13.175,32.293,31.499,1.3671,0.79718,1.8828,-0.55577,nsleep
38,0.26631,12.885,32.293,31.499,0.59157,0.78996,2.6541,-0.56711,nsleep
38,0.26631,13.078,32.293,31.499,1.5475,0.78636,2.8469,-0.56711,nsleep
38,0.25743,13.078,32.277,31.518,0.33546,0.77554,0.27978,-0.58602,nsleep
38,0.25743,13.127,32.26,31.518,1.6485,0.76471,3.4405,-0.58602,nsleep
38,0.24855,12.789,32.26,31.499,3.6035,0.74668,5.7392,-0.6087,nsleep
38,0.24855,12.306,32.277,31.499,1.0425,0.63486,1.8148,-0.7259,nsleep
38,0.23968,12.355,32.277,31.499,3.3474,0.61321,5.6069,-0.79018,nsleep
38,0.23968,12.499,32.26,31.481,3.2753,0.54107,4.8129,-0.85823,nsleep
38,0.23968,12.692,32.243,31.481,6.5542,0.57714,11.648,-0.79396,nsleep
38,0.23968,12.403,32.226,31.481,0.072143,0.91621,0.52552,-0.28356,nsleep
38,0.2308,11.582,32.26,31.481,0.11904,0.91261,0.5293,-0.2949,nsleep
38,0.2308,11.003,32.293,31.481,0.11543,0.90539,0.3932,-0.3138,nsleep
38,0.22192,10.376,32.327,31.481,0.26332,0.909,0.55577,-0.31002,nsleep
38,0.22192,10.038,32.344,31.499,2.7703,0.84768,6.0492,-0.44613,nsleep
38,0.22192,9.9898,32.361,31.499,1.9587,0.78275,3.448,-0.56711,nsleep
38,0.22192,9.845,32.361,31.499,0.76111,0.77914,2.0529,-0.57089,nsleep
38,0.22192,9.845,32.378,31.518,0.11182,0.77193,0.5104,-0.58224,nsleep
38,0.22192,9.8933,32.378,31.518,1.1579,0.7575,3.3346,-0.5898,nsleep
38,0.22192,9.8933,32.378,31.536,1.0461,0.75389,1.9698,-0.60492,nsleep
38,0.21305,9.7003,32.378,31.536,2.4204,0.68175,2.6881,-0.70322,nsleep
38,0.22192,9.8933,32.361,31.536,2.8893,0.505,5.569,-0.87713,nsleep
38,0.23968,10.231,32.344,31.518,0.62404,0.48336,1.8677,-0.89982,nsleep
38,0.24855,10.617,32.327,31.518,9.8583,0.47975,15.051,-0.83933,nsleep
38,0.24855,11.1,32.293,31.481,3.7081,0.94146,7.2401,0.034027,nsleep
38,0.24855,10.955,32.31,31.462,5.8255,0.73586,7.6296,-0.53309,nsleep
38,0.25743,11.196,32.31,31.462,0.13707,0.67454,0.79774,-0.56711,nsleep
38,0.25743,11.052,32.31,31.462,1.5366,0.62764,2.4235,-0.57467,nsleep
38,0.24855,10.617,32.31,31.481,0.95229,0.62404,2.2836,-0.58602,nsleep
38,0.24855,10.328,32.31,31.499,7.2504,0.67093,13.872,-0.64273,nsleep
38,0.24855,10.086,32.31,31.518,2.5863,0.60961,5.3611,-0.58602,nsleep
38,0.23968,9.652,32.327,31.536,3.957,0.63125,6.518,-0.63139,nsleep
38,0.23968,9.2659,32.327,31.536,2.02,0.63846,3.7051,-0.73347,nsleep
38,0.23968,9.4107,32.344,31.555,5.0392,0.56993,7.433,-0.8053,nsleep
38,0.2308,9.652,32.344,31.555,1.4284,0.54468,2.3894,-0.83176,nsleep
38,0.22192,9.845,32.344,31.555,1.9803,0.505,3.879,-0.84311,nsleep
38,0.22192,10.086,32.327,31.555,3.4268,0.50139,6.6957,-0.85067,nsleep
38,0.22192,10.328,32.327,31.555,0.021643,0.56632,1.259,-0.79774,nsleep
38,0.22192,10.472,32.31,31.536,4.2456,0.54468,5.5804,-0.82042,nsleep
38,0.2308,10.665,32.293,31.536,0.505,0.51582,1.0964,-0.85823,nsleep
38,0.23968,10.762,32.277,31.518,3.1094,0.49418,7.1154,-0.8847,nsleep
38,0.23968,11.003,32.26,31.518,3.3979,0.49057,7.6069,-0.88848,nsleep
38,0.23968,9.2177,32.903,31.889,64.175,0.47975,77.509,0.04915,sleep
38,0.26631,9.845,32.869,31.908,8.365,0.11904,13.115,-0.44613,sleep
38,0.26631,8.4455,32.869,31.927,0.32104,0.15511,0.25709,-0.44613,sleep
38,0.26631,8.1559,32.869,31.945,0.072143,0.15511,0.3138,-0.44613,sleep
38,0.26631,7.8664,32.886,31.964,0.14789,0.15511,0.79396,-0.44613,sleep
38,0.26631,7.4803,32.903,31.982,0.11182,0.15511,0.49528,-0.44613,sleep
38,0.26631,7.1907,32.92,31.982,0.202,0.15511,0.29112,-0.44613,sleep
38,0.25743,6.9012,32.937,32.001,0.16954,0.15511,0.45369,-0.44613,sleep
38,0.25743,6.6116,32.971,32.001,0.17675,0.15511,0.71834,-0.44613,sleep
38,0.25743,6.3221,32.988,32.02,0.12625,0.15511,0.6087,-0.44613,sleep
38,0.25743,6.0808,33.005,32.038,0.30661,0.15511,0.40832,-0.44613,sleep
38,0.24855,5.8877,33.039,32.057,0.07575,0.15511,0.707,-0.44613,sleep
38,0.24855,5.6947,33.056,32.057,0.18396,0.15511,0.60492,-0.44235,sleep
38,0.24855,5.5016,33.09,32.076,0.23446,0.15511,0.66919,-0.44235,sleep
38,0.24855,5.3086,33.125,32.095,0.064929,0.15511,0.77127,-0.44235,sleep
38,0.23968,5.1638,33.142,32.095,0.021643,0.15511,0.68053,-0.44235,sleep
38,0.23968,5.019,33.159,32.113,0.021643,0.15511,0.37051,-0.44235,sleep
38,0.23968,4.8743,33.176,32.113,0.043286,0.15511,0.50662,-0.44235,sleep
38,0.23968,4.7295,33.193,32.132,0.090179,0.15511,0.43101,-0.44235,sleep
38,0.23968,4.633,33.21,32.151,0.22004,0.15511,0.52174,-0.43479,sleep
38,0.2308,4.4882,33.227,32.169,0.202,0.1515,0.5104,-0.43479,sleep
38,0.2308,4.3434,33.261,32.188,0.064929,0.1515,0.45747,-0.43479,sleep
38,0.2308,4.2469,33.278,32.188,0.021643,0.1515,0.25331,-0.43479,sleep
38,0.2308,4.1504,33.278,32.207,0.19118,0.15511,0.27978,-0.43479,sleep
38,0.2308,4.0056,33.296,32.225,0.16232,0.1515,0.46881,-0.43479,sleep
38,0.22192,3.9091,33.313,32.225,0.19839,0.1515,0.46503,-0.43479,sleep
38,0.22192,3.8125,33.33,32.244,0.21643,0.1515,0.27978,-0.43479,sleep
38,0.2308,3.716,33.33,32.263,0.20561,0.1515,0.42722,-0.43479,sleep
38,0.2308,3.6195,33.347,32.263,0.064929,0.1515,0.31758,-0.43479,sleep
38,0.2308,3.523,33.364,32.282,0.072143,0.1515,0.32893,-0.43479,sleep
38,0.2308,3.4265,33.381,32.282,0.097393,0.1515,0.66919,-0.43479,sleep
38,0.2308,3.3782,33.398,32.282,0.16593,0.1515,0.44235,-0.43479,sleep
38,0.2308,3.2334,33.398,32.282,0.17314,0.15511,0.37429,-0.43479,sleep
38,0.2308,3.1852,33.416,32.282,0.16954,0.15511,0.20794,-0.43479,sleep
38,0.2308,3.1369,33.416,32.3,6.1249,0.11182,9.1948,-0.4121,sleep
38,0.2308,5.8877,33.347,32.282,10.959,-0.07575,18.688,-0.42722,sleep
38,0.2308,4.1504,33.347,32.263,0.15511,-0.02525,0.63517,-0.46503,sleep
38,0.23968,3.4747,33.347,32.225,0.29218,-0.02525,0.49528,-0.46503,sleep
38,0.25743,2.9439,33.347,32.207,0.097393,-0.02525,0.52552,-0.46503,sleep
38,0.25743,3.1369,33.347,32.207,1.0389,-0.18036,2.1701,0.1966,sleep
38,0.25743,4.4399,33.313,32.225,0.34989,-0.068536,0.42722,0.10208,sleep
38,0.26631,4.9708,33.278,32.263,0.10821,-0.057714,0.53687,0.075615,sleep
38,0.25743,5.3086,33.227,32.282,0.093786,-0.057714,0.16257,0.075615,sleep
38,0.24855,5.5499,33.193,32.3,0.072143,-0.057714,0.12476,0.075615,sleep
38,0.23968,5.6464,33.176,32.338,0.12264,-0.057714,0.46881,0.075615,sleep
38,0.23968,5.6464,33.159,32.357,0.12986,-0.057714,0.40076,0.075615,sleep
38,0.2308,5.8395,33.159,32.375,0.0505,-0.057714,0.41588,0.075615,sleep
38,0.22192,5.8395,33.142,32.394,0.072143,-0.057714,0.48016,0.075615,sleep
38,0.22192,5.9842,33.142,32.413,0.13346,-0.057714,0.68053,0.098299,sleep
38,0.22192,6.0325,33.142,32.451,0.101,-0.057714,0.95275,0.098299,sleep
38,0.22192,6.129,33.142,32.469,0.046893,-0.057714,1.5652,0.094519,sleep
38,0.22192,6.2738,33.125,32.488,0.15511,-0.057714,1.3762,0.094519,sleep
38,0.22192,6.2738,33.125,32.507,0.046893,-0.061321,1.3195,0.094519,sleep
38,0.22192,6.3703,33.125,32.526,0.072143,-0.061321,1.1645,0.090738,sleep
38,0.22192,6.2738,33.125,32.545,0.021643,-0.061321,1.2174,0.094519,sleep
38,0.22192,6.1773,33.125,32.563,0.068536,-0.061321,1.5274,0.094519,sleep
38,0.22192,6.1773,33.125,32.582,0.11182,-0.061321,0.85445,0.094519,sleep
38,0.22192,6.129,33.125,32.582,5.6452,-0.036071,9.9131,-0.13989,sleep
38,0.22192,5.9842,33.125,32.601,0.19479,-0.003607,0.79018,-0.14367,sleep
38,0.22192,5.8877,33.142,32.601,0.16232,-0.003607,0.51796,-0.14367,sleep
38,0.22192,5.5982,33.142,32.601,0.10461,-0.003607,0.46125,-0.14367,sleep
38,0.21305,5.2603,33.176,32.601,0,-0.003607,0.57467,-0.14367,sleep
38,0.21305,4.9225,33.193,32.601,0.097393,-0.003607,0.63895,-0.14367,sleep
38,0.21305,4.633,33.21,32.601,0.072143,-0.003607,0.54065,-0.14367,sleep
38,0.21305,4.6812,33.227,32.62,9.2054,-0.082964,15.459,-0.14745,sleep
38,0.21305,4.6812,33.244,32.601,0.021643,-0.003607,0.1172,-0.11342,sleep
38,0.21305,4.3917,33.261,32.601,0.11182,-0.003607,0.26465,-0.11342,sleep
38,0.21305,4.1021,33.278,32.601,0.11543,-0.003607,0.25331,-0.11342,sleep
38,0.21305,3.8608,33.296,32.62,0,-0.003607,0.32136,-0.11342,sleep
38,0.21305,3.6195,33.313,32.62,0.0505,-0.003607,0.29868,-0.11342,sleep
38,0.21305,3.3782,33.33,32.62,0.064929,-0.003607,0.31002,-0.11342,sleep
38,0.21305,3.1852,33.347,32.62,0.14068,-0.003607,0.41588,-0.11342,sleep
38,0.21305,3.0404,33.364,32.62,0.043286,-0.003607,0.090738,-0.11342,sleep
38,0.21305,2.8956,33.381,32.62,0.18036,-0.003607,0.56711,-0.11342,sleep
38,0.21305,2.7991,33.398,32.639,0.15511,-0.003607,0.24197,-0.11342,sleep
38,0.21305,3.1369,33.398,32.639,3.8452,-0.057714,5.0284,-0.13233,sleep
38,0.21305,2.8956,33.416,32.658,0.19839,-0.028857,0.44613,-0.13233,sleep
38,0.21305,2.7026,33.416,32.658,0.064929,-0.028857,0.77127,-0.13233,sleep
38,0.21305,2.5578,33.416,32.658,0.14068,-0.028857,0.45369,-0.13233,sleep
38,0.21305,2.5095,33.433,32.676,0.18396,-0.028857,0.33649,-0.13233,sleep
38,0.21305,2.3647,33.45,32.676,0.47614,-0.028857,0.52552,-0.13233,sleep
38,0.21305,2.3165,33.467,32.676,0.18396,-0.028857,0.77883,-0.13233,sleep
38,0.21305,2.22,33.467,32.676,0.24889,-0.028857,0.48394,-0.13233,sleep
38,0.21305,2.1717,33.484,32.695,0.26693,-0.028857,0.58224,-0.13233,sleep
38,0.21305,2.0752,33.502,32.695,0.15871,-0.028857,0.90738,-0.13233,sleep
38,0.21305,2.0752,33.519,32.695,0.15871,-0.028857,0.73347,-0.13233,sleep
38,0.21305,1.9787,33.519,32.695,0.17314,-0.028857,0.50662,-0.13233,sleep
38,0.21305,1.9304,33.536,32.695,0.202,-0.028857,0.46881,-0.13233,sleep
38,0.21305,1.9304,33.553,32.714,0.064929,-0.028857,0.58224,-0.13233,sleep
38,0.21305,1.8821,33.57,32.714,0.10821,-0.028857,0.78262,-0.13233,sleep
38,0.21305,1.8339,33.57,32.714,0.093786,-0.028857,0.25331,-0.13233,sleep
38,0.21305,1.7374,33.588,32.714,0.064929,-0.028857,0.68053,-0.13233,sleep
38,0.22192,1.6408,33.588,32.733,0.057714,-0.02525,0.46503,-0.13233,sleep
38,0.22192,1.5926,33.605,32.733,0.043286,-0.02525,0.22306,-0.13233,sleep
38,0.2308,1.4961,33.622,32.752,0.13707,-0.02525,0.46881,-0.13233,sleep
38,0.2308,1.3995,33.639,32.752,0.0505,-0.02525,0.40076,-0.13233,sleep
38,0.23968,1.2065,33.656,32.752,0.064929,-0.02525,0.62004,-0.13233,sleep
38,0.2308,1.5443,33.656,32.752,0.78636,-0.14429,1.6976,0.21928,sleep
38,0.2308,3.0404,33.605,32.752,0.0505,-0.30661,0.13611,0.7259,sleep
38,0.2308,2.9921,33.553,32.752,0.072143,-0.30661,0.23063,0.7259,sleep
38,0.22192,2.6543,33.519,32.752,0.2525,-0.30661,0.36673,0.7259,sleep
38,0.22192,2.2682,33.502,32.752,0.18396,-0.30661,0.59736,0.7259,sleep
38,0.22192,1.8339,33.502,32.771,0.20921,-0.303,0.45369,0.7259,sleep
38,0.22192,1.3513,33.502,32.771,0.086571,-0.303,0.45369,0.72212,sleep
38,0.22192,1.0135,33.502,32.771,0.064929,-0.303,0.35539,0.72212,sleep
38,0.22192,0.67564,33.502,32.79,0.068536,-0.303,0.66919,0.72212,sleep
38,0.22192,0.38608,33.502,32.79,0,-0.303,0.35161,0.72212,sleep
38,0.22192,0.2413,33.519,32.809,0.53386,-0.28136,1.5236,0.7259,sleep
38,0.21305,0.09652,33.519,32.809,0.22004,-0.27054,0.15123,0.72212,sleep
38,0.22192,-0.04826,33.519,32.809,0.3535,-0.27054,0.44991,0.72212,sleep
38,0.22192,0.04826,33.519,32.828,1.6629,-0.054107,2.8053,0.16257,sleep
38,0.22192,0.14478,33.536,32.846,0.17314,0.064929,0.5898,-0.17013,sleep
38,0.22192,0.33782,33.553,32.865,0,0.064929,0.25331,-0.17013,sleep
38,0.22192,0.53086,33.57,32.884,0.064929,0.064929,0.28734,-0.17013,sleep
