age,sensor1,sensor2,sensor3,sensor5,sensor6,sensor7,sensor8,sensor9,gender
36,0.079893,23.503,28.226,27.857,38.885,0.83888,58.311,-0.3053,M
56,0.27519,16.264,33.21,33.333,88.143,0.96927,45.609,-0.019212,F
26,6.1517,15.395,32.077,31.096,120.76,0.63219,133,-0.30584,M
56,0.85219,40.249,32.811,32.465,28.485,0.64374,29.429,-0.43451,F
35,18.224,23.068,33.379,33.484,82.027,0.82103,114.27,-0.37655,F
30,16.28,31.61,33.355,32.582,145.22,0.81174,146.32,-0.42925,M
36,3.8704,18.677,31.376,30.934,109.22,0.6087,195.65,-0.58917,M
36,7.1016,23.261,32.449,32.698,77.561,0.24689,119.35,-0.79438,M
53,0.071016,2.4613,29.112,28.417,16.986,0.83686,32.959,-0.42499,F
53,6.7465,-0.43434,32.116,32.19,63.053,0.74307,100.98,-0.47663,F
35,1.5623,22.055,31.12,30.785,34.742,1.0016,51.809,-0.26933,F
35,18.162,35.616,32.307,32.041,85.715,0.69629,100.19,-0.39278,F
30,2.5477,15.733,32.012,31.828,103.67,0.84222,118.59,-0.33892,M
35,13.014,19.063,32.403,31.882,38.147,0.79872,51.157,-0.47622,F
32,2.4589,19.835,33.213,32.662,163.13,0.91321,181.94,-0.33449,M
54,0.44385,30.645,32.833,32.481,106.36,0.742,124.26,-0.47731,F
54,0.63914,21.476,33.892,33.426,62.397,0.78676,67.511,-0.48002,F
56,0.56813,20.173,31.394,30.71,57.513,0.91116,43.056,-0.21781,F
56,3.2845,33.01,31.821,31.737,73.607,0.54989,87.988,0.042083,F
56,0.86994,37.112,31.592,31.461,70.097,0.82235,63.928,-0.27249,F
37,5.3173,29.776,33.014,32.926,150.37,0.86332,215.02,0.015454,M
39,3.2756,32.431,31.289,31.015,75.088,0.60042,70.696,-0.55633,M
37,10.359,37.643,33.521,32.926,197.53,0.86687,211.81,-0.22794,M
36,0.97646,27.508,31.944,31.151,109.95,0.65558,139.15,-0.66867,M
53,9.1699,7.5286,34.581,34.969,63.007,0.38981,93.687,-0.6667,F
34,12.241,31.852,31.186,30.494,150.26,0.70334,163.27,-0.59051,F
26,2.814,21.476,33.052,32.184,158.53,0.79764,202.11,-0.24559,M
28,8.0603,17.422,32.981,32.833,177.22,0.90951,186.8,-0.046361,M
24,7.0128,20.559,31.683,30.879,35.448,0.74688,37.899,-0.59537,M
32,1.3315,26.833,34.609,34.423,195.94,0.82779,263.21,-0.34974,M
33,1.1007,24.42,31.724,31.004,16.089,0.68407,21.84,-0.67769,M
33,1.5446,22.103,32.374,32.022,80.752,0.76413,74.231,-0.36421,M
54,0.67465,25.143,32.882,32.473,75.992,0.62844,88.778,-0.49633,F
26,3.6751,93.19,30.217,31.517,7.7733,0.65863,13.091,-0.41242,M
53,4.3852,16.65,32.491,31.886,54.818,0.80079,88.605,-0.34556,F
35,18.127,23.068,32.181,32.76,148.23,0.75119,160.41,-0.51996,F
53,5.4149,11.727,33.277,33.085,82.643,0.35894,103.63,-0.64374,F
39,4.5006,19.738,29.994,29.268,113.12,0.76111,130.14,-0.42102,F
53,6.0718,6.2255,32.15,32.552,95.676,0.68175,129.85,-0.58387,F
36,0.79005,28.956,31.854,31.438,168.26,0.91947,151.09,-0.15666,M
36,1.1984,33.299,33.109,32.566,162.9,0.58978,266.45,-0.63871,M
26,6.853,24.275,33.103,32.296,178.4,0.79039,168.52,-0.28652,M
35,18.02,24.854,33.052,33.023,92.267,0.60702,108.54,-0.56774,F
34,10.217,29.294,30.082,30.421,61.619,0.51285,81.361,-0.59051,F
53,2.9383,4.0538,34.766,36.454,37.535,0.30351,54.025,-0.48205,F
56,0.25743,13.175,33.243,33.409,52.177,0.98448,25.652,-0.24207,F
26,1.4469,26.639,32.661,31.462,95.184,0.5606,106.32,-0.28209,M
31,1.7044,23.503,30.867,29.838,200.78,0.77127,238.99,-0.36064,M
53,4.0213,20.752,31.122,30.685,103.08,0.59518,147.58,-0.51238,F
53,11.957,26.977,35.039,35.13,180.32,0.86332,202.3,0.12034,F
30,9.5871,16.843,28.844,28.254,7.9184,1.0055,44.456,-0.24745,M
32,1.6067,27.846,32.992,32.643,183.83,0.75487,214.29,-0.45993,M
37,3.0182,23.068,31.667,32.554,76.441,0.95569,126.24,-0.14681,M
26,1.0031,21.717,32.729,31.5,116.3,0.87482,109.12,-0.17496,M
36,0.44385,27.267,31.269,30.881,127.04,0.72532,174.4,-0.50615,M
39,8.3443,35.423,34.409,33.864,191.39,0.80292,188.56,-0.43656,M
25,4.6693,13.416,32.645,33.047,63.34,0.36619,92.557,-0.59165,M
26,4.4118,45.557,32.483,31.718,53.601,0.54007,94.822,-0.34087,M
53,2.5566,19.497,33.79,34.312,2.4067,0.88554,4.467,-0.24281,F
30,1.5091,28.859,33.793,33.218,155.99,0.85266,180.23,-0.2482,M
30,0.26631,14.044,31.043,30.28,7.3675,0.19703,13.032,-0.86735,M
30,3.3732,32.624,30.868,30.037,12.049,0.39071,22.834,-0.89111,M
30,18.153,14.671,32.127,31.827,215.01,0.80912,183.51,-0.15554,M
53,2.6276,26.833,34.832,35.3,57.499,0.70337,101.63,-0.33862,F
53,12.925,34.12,35.125,34.88,94.305,0.64305,128.34,-0.48888,F
49,3.7461,14.864,31.019,30.192,63.878,0.91337,63.582,-0.025642,F
49,1.4913,20.221,31.972,31.258,35.705,0.73601,60.501,-0.36094,F
53,5.0244,19.207,31.608,30.704,108.51,0.69979,154.76,-0.51635,F
30,7.7407,24.709,32.743,31.961,199.17,0.64374,227.29,-0.36823,M
35,18.082,20.752,31.052,30.009,37.517,0.52738,65.718,-0.43226,F
30,4.6071,23.068,33.55,33.258,186.74,0.59677,251.42,-0.66473,M
33,2.095,25.819,32.369,31.882,193.11,0.7949,178.72,-0.47988,M
33,2.956,20.269,30.901,29.874,391.91,0.98678,244.71,-0.22138,M
52,0.30182,33.685,30.579,29.574,42.195,0.79984,67.908,-0.33208,F
53,4.474,31.996,33.388,32.958,8.4556,0.52581,14.242,-0.47008,F
43,1.5357,32.913,32.688,31.796,181.55,0.89244,250.82,-0.33045,M
30,1.1718,31.465,33.154,32.458,134.05,0.81358,199.05,-0.36478,M
32,6.0097,22.007,34.114,33.855,179.88,0.84201,277.02,-0.28205,M
30,0.58588,12.499,31.542,30.682,9.446,0.96198,6.8441,-0.26239,M
35,7.501,24.42,30.951,30.859,70.957,0.58602,85.543,-0.54989,F
31,5.3439,25.288,32.645,31.872,59.392,0.87482,47.165,-0.33208,M
35,18.073,28.522,31.978,31.938,63.718,0.38216,89.653,-0.64473,F
37,3.1957,33.541,32.83,32.907,258.43,0.83845,277.78,-0.24726,M
53,0.85219,10.086,28.145,27.13,148.7,0.72143,185.56,-0.47663,F
53,3.1069,18.87,32.284,31.208,22.926,0.91337,20.935,-0.36632,F
36,1.3315,32.189,33.144,32.471,121.56,0.84987,137.71,-0.3294,M
31,3.3466,28.618,31.411,29.911,9.9056,0.81664,10.419,-0.62844,M
30,17.674,15.684,32.802,32.247,127.4,0.88375,146.59,-0.2828,M
56,0.63026,25.867,32.972,32.658,53.941,0.91986,53.736,0.13064,F
39,0.63914,24.661,24.854,28.525,130.38,0.67454,170.65,-0.34556,F
26,0.90545,20.124,32.374,31.166,144.2,0.73199,127.4,-0.2678,M
54,0.39946,25.385,33.36,33.099,20.596,0.60702,32.433,-0.68915,F
53,2.6897,17.518,31.272,31.152,1.9803,0.41121,3.0028,-0.91751,F
54,0.53262,19.111,34.03,33.579,24.792,0.68162,26.996,-0.60281,F
53,6.4269,0.7239,33.737,33.362,9.9088,0.68536,17.417,-0.64345,F
26,6.2405,30.549,33.22,32.656,85.842,0.63826,112.74,-0.46292,M
39,1.9796,8.9764,30.988,31.189,7.8059,0.63486,9.6319,-0.5799,F
35,10.271,18.435,32.029,31.631,92.171,0.69944,127.16,-0.4392,F
33,6.4891,19.352,31.253,30.486,52.372,0.90955,70.074,-0.41761,M
24,1.4114,21.717,30.951,30.075,40.129,0.64174,44.537,-0.36466,M
52,5.4948,34.506,30.941,30.375,110.22,0.90696,81.644,-0.010712,F
42,2.0506,22.393,33.048,32.926,156.35,0.85977,186.27,-0.10045,M
36,1.3493,31.562,33.007,32.339,91.115,0.66304,124.73,-0.57444,M
39,0.73679,16.457,31.743,31.283,29.831,0.66371,36.383,-0.4806,F
53,13.2,-3.3782,34.74,35.91,15.677,0.66712,15.361,0.0037211,F
32,3.7638,36.147,33.59,33.499,178.56,0.84556,255.16,-0.31965,M
53,9.5427,34.602,34.712,34.461,47.849,0.94504,74.036,0.063931,F
56,0.13315,17.615,31.774,31.868,2.8727,0.77026,1.8743,0,F
56,0.19529,30.162,30.985,29.985,69.154,0.95653,50.104,-0.28566,F
30,15.801,30.597,31.427,30.217,40.083,0.3895,83.308,-0.707,M
53,10.714,26.977,35.264,35.014,119.71,0.66437,139.23,-0.60922,F
53,5.051,16.843,34.727,35.104,24.495,0.88466,25.757,-0.33489,F
36,1.2161,27.074,31.776,31.94,76.503,0.89631,107.5,-0.08382,M
53,6.0008,34.988,29.438,28.579,148.59,0.81882,180.93,-0.41308,F
56,2.1216,39.959,33.018,32.878,97.114,0.82156,134.94,-0.22725,F
37,2.6453,50.383,31.191,31.105,122.37,0.95214,87.927,0.0038634,M
30,3.027,14.671,33.993,33.724,99.301,0.72628,259.27,-0.40887,M
32,0.8078,21.958,32.621,32.121,198.38,0.85061,221.32,-0.28888,M
26,0.27519,18.725,32.14,31.295,119.49,0.86328,117.75,-0.29827,M
32,1.083,70.749,31.288,31.548,65.865,0.34614,65.033,-0.47513,M
35,9.8712,18.821,32.497,32.164,71.199,0.75993,85.154,-0.42134,F
30,1.5357,17.325,31.526,30.921,85.087,0.83449,163.44,-0.48834,M
53,9.8445,11.775,31.997,32.057,78.401,0.59157,113.58,-0.58387,F
36,2.8229,30.742,32.853,32.377,136.54,0.62641,213.19,-0.62264,M
56,1.2339,31.996,32.123,31.924,185.25,0.90049,90.816,-0.28722,F
30,1.8464,16.119,31.834,31.64,12.255,0.30409,11.262,-0.91833,M
53,11.513,29.583,35.143,35.11,158.67,0.7745,223.9,-0.12034,F
28,8.1047,-0.38608,32.595,31.964,82.154,0.91661,72.751,-0.096585,M
53,12.037,-5.3569,33.951,34.199,43.323,0.41332,53.862,-0.66607,F
53,3.6751,16.022,34.907,34.722,21.842,-0.046419,45.462,-0.57131,F
53,7.5099,19.594,32.972,33.42,69.903,0.78996,98.587,-0.31378,F
49,4.1633,22.779,31.684,30.878,202.92,0.7735,198.05,0.55986,F
30,4.0745,19.738,30.783,31.071,110.22,0.76199,137.66,-0.36764,M
36,0.33732,29.487,31.653,31.308,97.181,0.8865,105.75,-0.26914,M
52,7.1459,6.1773,35.013,35.492,70.325,0.69272,98.098,0.11783,F
39,2.45,29.052,32.512,32.517,25.456,0.25935,33.623,-1.0006,M
24,9.7913,19.69,32.019,31.137,53.776,0.80489,64.553,-0.29768,M
53,0.96759,13.899,31.625,31.058,0.40039,0.40039,1.3584,-0.61962,F
36,2.4767,11.1,30.23,29.492,124.1,0.91124,90.146,-0.37471,M
33,1.7044,15.154,31.052,30.505,78.79,0.94776,62.912,-0.33335,M
53,3.8615,4.7295,34.599,34.771,21.111,0.55414,47.512,-0.51651,F
56,0.60363,24.323,31.236,31.023,214.51,0.95923,90.665,-0.047622,F
35,18.127,20.655,32.232,32.531,88.681,0.6444,118.46,-0.44141,F
36,15.481,20.897,32.961,32.986,81.657,0.37781,122,-0.77849,M
53,5.0687,17.615,32.817,32.399,153.6,0.6565,174,-0.61565,F
53,9.9244,25.336,32.9,32.952,30.499,0.17766,40.05,-0.82235,F
32,0.33732,24.806,33.026,32.718,70.752,0.8101,76.06,-0.44092,M
32,0.20417,29.921,31.536,30.961,4.6655,0.23935,5.1467,-0.93887,M
31,13.848,23.647,33.22,32.268,113.07,0.72337,150.74,-0.42504,M
35,4.9445,17.711,33.159,32.33,52.157,0.8085,35.73,-0.27634,F
27,4.0301,20.366,30.632,30.175,196,0.9191,166.63,-0.36764,M
37,4.7048,30.452,33.166,33.038,193.07,0.78161,224.93,-0.18544,M
26,6.9418,22.2,33.237,32.6,74.166,0.56625,131.19,-0.50079,M
43,0.25743,25.53,32.036,31.722,121.77,0.8654,88.963,-0.45724,M
39,0.31069,23.647,27.569,29.086,74.055,0.67093,83.64,-0.36939,F
27,3.0182,21.958,31.154,30.677,17.624,0.65594,25.703,-0.65751,M
30,18.002,29.583,32.34,32.11,500.3,0.81119,262.84,-0.32404,M
30,0.062139,37.064,26.641,25.52,159.32,0.83465,171.93,-0.39979,M
56,1.9884,25.964,32.368,32.246,0.077328,0.98685,0.1833,-0.18704,F
30,2.0062,28.329,29.747,29.339,98.671,0.84995,120.71,-0.44825,M
39,7.6786,39.139,32.729,32.777,177.84,0.80292,164.38,-0.35543,M
26,2.6542,24.033,30.765,29.415,88.065,0.6276,92.517,-0.37849,M
32,2.8317,45.509,31.863,31.343,139.08,0.78161,102.77,-0.38359,M
34,3.5774,27.991,29.028,28.751,105.5,0.72898,117.8,-0.26914,F
37,4.5184,38.994,31.322,31.615,160.96,0.91661,210.07,-0.17385,M
30,6.0452,34.988,31.41,30.892,11.468,0.15628,24.579,-0.8322,M
56,3.6751,37.305,33.102,32.953,63.944,0.83138,80.808,0,F
25,14.851,29.825,32.221,31.359,161.83,0.85928,162.5,-0.34234,M
34,3.9858,31.659,29.805,29.635,205.04,0.71066,211.26,-0.55034,F
36,4.8024,38.898,32.326,32.037,162.17,0.82422,247.4,-0.34145,M
35,18.162,38.463,33.756,33.424,155.45,0.82126,200.11,-0.1464,F
37,8.3355,35.278,32.412,32.295,139.04,0.73542,168.63,0.54087,M
39,2.6009,12.162,28.353,32.323,17.451,0.67814,31.767,-0.57196,F
31,2.8761,23.503,30.85,29.764,223.88,0.85445,245.86,-0.32851,M
36,2.0595,27.749,31.091,30.926,10.111,0.61958,32.057,-0.64552,M
43,0.33732,29.101,31.538,30.22,159.87,0.93108,65.701,-0.16907,M
36,1.083,35.326,32.58,32.112,159.9,0.707,211.83,-0.41777,M
39,4.9001,13.175,33.793,33.77,28.657,0.77806,28.925,-0.48679,M
53,4.8557,11.775,35.546,37.044,45.409,0.78556,71.993,-0.21067,F
43,5.8233,30.452,33.809,33.258,112.41,0.81904,111.83,-0.42266,M
53,5.5747,26.157,29.814,29.032,105.75,0.78996,149.84,-0.48457,F
53,3.6573,17.277,30.921,30.629,108.54,0.56632,153.4,-0.53621,F
26,1.6777,25.723,30.613,29.141,42.496,0.71834,45.173,-0.33922,M
43,0.39059,13.127,31.82,30.401,19.023,0.66837,23.235,-0.54562,M
28,0.15091,36.822,29.959,29.631,215.4,0.92372,298.02,-0.03477,M
56,0.15979,26.591,31.47,31.658,58.776,0.91986,40.825,-0.046109,F
53,6.3293,17.615,34.013,34.597,96.373,0.51484,154.13,-0.61397,F
31,7.8916,24.323,31.513,30.152,105.74,0.81664,148.28,-0.4749,M
56,2.166,26.012,32.471,32.284,0,1.0163,0.089778,-0.14589,F
31,1.8464,27.653,32.661,32.333,151.63,0.91729,181.03,-0.18605,M
36,18.136,27.219,31.323,31.264,3.2507,0.75563,23.434,-0.49649,M
53,4.5539,19.401,31.592,31.565,205.63,0.77914,258.81,-0.34953,F
35,18.216,11.582,33.789,33.636,55.538,0.86665,72.856,-0.18443,F
31,13.653,37.401,32.384,32.066,13.066,0.41242,21.837,-0.87112,M
33,0.26631,15.298,30.885,30.182,132.61,0.40187,116.14,-0.36455,M
36,0.19529,17.953,30.066,29.872,118.96,0.84987,115.14,-0.39769,M
56,0.2308,22.634,31.917,32.156,174.17,0.98068,67.826,-0.17675,F
35,4.2876,41.262,30.782,30.654,50.223,0.75237,65.497,-0.38207,F
34,5.7168,34.409,30.377,29.799,138.3,0.75462,192.06,-0.42179,F
56,1.9352,33.203,31.854,31.846,85.802,0.81501,91.628,-0.27354,F
53,7.5809,11.1,33.455,33.831,61.524,0.91337,87.291,-0.35533,F
53,9.0722,24.323,32.594,32.179,133.5,0.80852,160.83,-0.42792,F
31,6.205,37.353,32.307,31.667,156.57,0.84269,183.08,-0.33565,M
39,4.5805,19.642,30.955,33.246,30.726,0.62764,44.855,-0.13107,F
53,0.026631,6.9494,26.998,25.88,62.285,0.83325,73.885,-0.40911,F
31,18.153,37.981,33.642,33.776,46.554,0.54989,51.295,-0.55971,M
53,5.2019,2.5578,33.754,33.595,45.702,0.707,73.643,-0.50443,F
36,5.5747,12.789,31.205,30.733,50.884,0.86018,42.477,-0.49137,M
30,1.6334,25.336,31.526,31.16,94.228,0.6645,91.782,-0.57945,M
53,7.7585,27.508,33.708,33.368,99.019,0.82779,148.95,-0.018803,F
56,0.33732,28.425,31.121,30.207,5.2326,0.78262,5.1704,0.046419,F
54,0.43497,23.406,32.797,32.333,27.827,0.47133,37.624,-0.64374,F
31,7.2702,31.176,32.357,31.462,166.01,0.67843,262.36,-0.52132,M
53,6.9418,11.486,32.167,32.095,54.197,0.36432,86.071,-0.81821,F
36,7.6786,10.135,28.648,28.182,121.51,0.78948,123.53,-0.43127,M
53,2.9116,7.1907,32.337,32.019,106.01,0.81161,132.03,-0.45677,F
26,16.298,23.165,32.956,32.008,193.38,0.64618,259.42,-0.36503,M
53,7.1637,20.51,31.383,31.008,46.47,0.54022,59.068,-0.707,F
39,0.74566,7.046,32.88,32.814,74.271,0.65726,65.233,-0.57564,M
52,4.687,51.542,33.09,33.528,6.783,0.3605,10.052,-0.67829,F
27,16.129,16.794,31.409,31.448,37.133,0.67165,55.125,-0.49137,M
39,0.19529,19.545,27.394,28.093,148.37,0.84768,191.94,-0.36939,F
53,4.8646,11.92,31.659,31.17,7.5353,0.73946,17.278,-0.59181,F
26,3.6662,13.078,33.557,32.521,52.191,0.68839,41.665,-0.30563,M
54,2.6187,27.605,33.274,32.116,13.861,0.82483,26.595,-0.39992,F
30,6.5334,18.725,31.607,30.702,140.5,0.66445,199.12,-0.42504,M
53,2.5743,8.8316,31.373,31.189,4.8083,0.78636,8.8772,-0.49252,F
30,1.3937,18.58,32.453,31.475,8.2336,0.59653,16.641,-0.80583,M
32,2.5211,27.508,33.009,32.606,152.37,0.73278,217.46,-0.3459,M
56,2.0683,26.205,32.368,32.246,0.14729,0.98317,0.27681,-0.19452,F
30,0.19529,14.961,30.783,30.509,67.593,0.92303,104.95,-0.31815,M
30,0.071016,21.427,29.926,29.465,7.8079,0.21635,6.9789,-0.90379,M
33,1.1895,19.594,31.952,31.321,141.26,0.6825,139.97,-0.30505,M
48,0.99422,27.701,31.466,31.284,104.86,0.9555,105.47,-0.11843,M
32,8.6905,26.688,34.165,34.138,113.93,0.83135,102.26,-0.28957,M
30,2.2725,25.143,31.272,30.437,22.023,0.64618,29.882,-0.79922,M
27,3.0714,11.1,31.664,31.599,85.963,0.91124,137.97,-0.38532,M
34,18.198,19.69,34.256,34.481,98.146,0.65987,152.83,-0.29396,F
36,1.5801,34.795,32.58,32.15,154.99,0.82056,127.65,-0.42982,M
26,3.4176,19.642,33.018,31.828,37.874,0.84775,48.977,-0.24408,M
43,5.9653,13.899,33.399,32.767,109.57,0.73791,121.35,-0.24976,M
30,2.8229,20.8,30.43,30.305,15.028,-0.33386,19.803,-0.66458,M
53,0.8877,3.7643,31.471,31.11,26.223,0.071414,42.613,-0.66058,F
26,5.9032,23.117,33.081,32.315,153.38,0.79631,151.02,-0.15466,M
35,5.0155,18.387,33.107,32.349,89.887,0.693,83.526,-0.35888,F
32,0.1154,28.763,30.632,30.108,51.545,0.66281,80.841,-0.64998,M
37,2.5654,32.093,32.863,33.619,32.6,0.89174,30.003,-0.13908,M
35,4.2432,2.0752,34.591,34.507,94.32,0.82126,118.8,-0.22495,F
26,6.8264,23.696,32.951,31.901,155.23,0.59244,256.34,-0.30721,M
30,6.0985,40.297,32.844,32.054,235.39,0.78142,236.97,-0.21357,M
53,5.0155,25.095,31.356,30.778,172.39,0.66011,220.01,-0.54018,F
54,0.58588,16.167,33.166,32.603,82.88,0.61348,86.484,-0.4806,F
56,0.39059,21.717,32.067,32.305,1.9005,0.79062,1.122,0.20749,F
39,3.3289,27.508,31.914,32.092,74.327,0.77806,85.18,-0.49838,M
49,3.4176,13.513,31.583,30.915,31.371,0.8295,41.045,0.36247,F
27,4.0301,19.159,30.8,30.677,16.143,0.20032,24.441,-0.50904,M
53,8.6106,28.57,35.629,35.341,182.6,0.82069,215.11,-0.13914,F
54,0.96759,18.194,32.807,32.47,61.977,0.49004,101.49,-0.68714,F
35,5.8233,25.771,31.454,30.686,124.34,0.79984,146.2,-0.2928,F
32,6.6932,37.305,33.996,33.799,174.33,0.79582,196.14,-0.36854,M
36,1.7399,1.9304,31.375,30.977,39.745,0.95838,34.145,-0.25452,M
53,3.8348,10.617,32.506,32.449,66.833,0.70318,82.767,-0.51285,F
53,5.8144,14.575,32.645,32.247,125.51,0.72864,180.5,-0.3813,F
26,8.3355,20.945,32.972,32.453,35.175,0.98068,23.515,-0.26513,M
28,7.9804,36.436,30.898,30.509,189.43,0.92727,248.3,-0.081131,M
30,0.08877,22.972,29.729,29.035,23.061,0.88109,31.413,-0.41743,M
30,18.189,21.62,32.542,32.285,220.21,0.89161,182.95,-0.38178,M
53,5.0332,33.878,31.239,30.148,199.83,0.707,223.45,-0.4528,F
25,18.047,12.885,31.7,31.23,75.062,0.62361,97.324,-0.63258,M
53,2.9028,16.601,33.84,33.831,57.875,0.67261,83.393,-0.64839,F
54,0.36396,16.457,33.121,32.757,29.905,0.51061,51.922,-0.67843,F
53,7.5277,29.535,33.125,32.108,4.8917,0.48535,13.407,-0.76927,F
53,3.7638,21.524,34.186,34.714,31.028,0.54747,38.048,-0.45769,F
33,0.83443,25.288,31.988,31.37,77.931,0.77127,103.28,-0.42134,M
53,6.4003,7.8181,34.351,34.712,35.404,0.22548,52.325,-0.80224,F
53,4.6604,31.852,33.54,33.125,6.9457,0.83135,12.042,-0.43623,F
53,4.4207,20.848,30.024,29.589,192.92,0.92483,162.92,-0.36998,F
53,4.2343,5.7912,32.884,32.468,53.059,0.71846,82.243,-0.58245,F
36,3.9147,10.955,31.222,30.789,6.7597,0.22781,4.2632,-0.9191,M
49,3.8171,25.723,29.614,30.064,72.806,0.7949,64.593,-0.52384,F
53,4.9178,49.273,33.771,35.182,69.935,0.43508,97.901,-0.62142,F
48,0.65689,26.398,32.567,32.711,24.192,0.68736,30.237,0.071542,M
31,1.7488,22.248,31.291,29.838,186.34,0.87713,226.69,-0.38207,M
36,17.869,25.916,30.951,30.096,136.44,0.89604,193.21,-0.16068,M
